"","recid","earnings","D","male","hsorged","black","hispanic","married","wkless13","afdc","age2225","age2629","age3035","age3644","age4554","class_tr","ojt_jsa","f2sms","age","bfeduca","bfyrearn","bfwage","bfhrswrk"
"2834",305212,6689,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"31",12,2012,100,35
"2835",305214,2901,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,"49",8,0,350,12
"2837",305222,16320,1,1,1,1,0,1,0.4073359,0,0,0,1,0,0,1,0,1,"35",12,0,480,40
"2838",305223,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,"37",12,0,545,40
"2839",305224,67741,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"28",11,5280,660,40
"2840",305226,1484,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,"31",12,190,381,20
"2842",305229,22080,1,1,0.6876773,0,0,1,0.4073359,0,0,0,0,1,0,0,1,0,"40",8,8,650,50
"2843",305231,94715,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,"31",12,14000,850,40
"2844",305232,0,1,0,1,1,0,0.2111608,1,1,0,0,0,1,0,1,0,0,"38",14,5000,400,40
"2845",305233,37456,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,"26",12,1600,1200,4
"2846",305235,16476,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,"27",12,0,310,40
"2848",305242,57357,0,1,1,0,0,0,0.4073359,0,0,0,0,0,1,0,1,0,"45",13,129,662,19
"2850",305246,15467,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,"25",10,5000,375,30
"2851",305251,43447,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,"27",8,9000,632,40
"2852",305252,104,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"41",14,3500,700,38
"2855",305260,6798,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,"28",12,0,400,25
"2856",305261,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,"25",12,0,345,34
"2858",305264,402,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,"27",10,0,0,0
"2860",305268,28349,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,"31",12,299,355,32
"2861",305269,1274,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,"29",14,16700,450,40
"2862",305274,84,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,"37",10,0,0,0
"2863",305276,33750,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,"30",14,7000,525,18
"2864",305277,27805,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"34",12,9870,525,40
"2866",305283,24389,1,0,1,0,0,0.2111608,0,0,0,1,0,0,0,1,0,1,"27",10,4000,400,40
"2867",305284,22816,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,"23",12,0,350,23
"2868",305286,24894,1,1,0.6876773,0,0,1,0,0,1,0,0,0,0,0,1,0,"24",12,14000,621,40
"2870",305288,8157,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,"51",12,2900,400,33
"2871",305289,9373,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,"28",12,3000,425,40
"2872",305290,19707,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,"35",11,4692,350,40
"2873",305291,17976,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,"25",13,1000,400,40
"2874",305292,2320,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,"31",8,2500,200,55
"2876",305296,21705,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,"25",12,3500,505,37
"2877",305297,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"29",8,0,0,0
"2878",305300,25483,1,0,0.716404,0,0,1,1,1,0,0,0,0,1,1,0,0,"48",11,300,261,35
"2879",305306,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"32",12,8000,335,21
"2880",305308,55296,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"22",8,5000,450,40
"2881",305310,3405,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,"25",12,870,600,25
"2882",305311,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,"49",12,0,0,0
"2883",305312,117,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,"22",9,0,335,6
"2885",305318,13173,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,"69",12,0,0,0
"2886",305321,435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"67",11,3200,369,20
"2887",305322,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,"30",12,0,0,0
"2888",305326,21325,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"28",10,1200,527,40
"2889",305328,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"40",12,7192,535,48
"2893",305332,2752,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,"24",9,4300,350,37
"2896",305341,39125,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,"56",12,4500,470,40
"2897",305343,3433,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,"30",8,350,800,15
"2898",305344,41820,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"40",16,3000,500,45
"2900",305348,10353,0,0,1,1,0,0,0.5332298,0,1,0,0,0,0,1,0,0,"25",11,3033,380,48
"2901",305352,484,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,"37",11,0,425,40
"2902",305353,37641,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,"29",8,0,0,0
"2903",305354,54109,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,"27",15,0,750,38
"2904",305355,16648,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,"67",16,8000,587,16
"2905",305357,1465,1,0,0.716404,0,1,0,0.5332298,1,0,0,1,0,0,1,0,0,"32",12,0,440,28
"2906",305359,21880,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"26",11,5000,350,40
"2907",305361,3782,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,"27",12,900,700,30
"2908",305363,2066,1,1,0.6876773,0,0,0,1,0,0,0,0,0,1,0,0,0,"51",13,0,0,0
"2910",305365,33909,0,0,0.716404,0,0,0,1,0,0,0,1,0,0,0,1,0,"32",13,84,425,20
"2911",305366,40968,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"23",13,3967,370,37
"2912",305370,25551,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,"38",10,1211,500,8
"2913",305373,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,"34",13,0,0,0
"2915",305377,16651,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"41",10,7150,812,40
"2917",305379,15621,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,"34",11,8645,475,35
"2918",305382,32901,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,"23",12,2000,350,40
"2920",305385,10885,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,"26",10,7000,700,40
"2921",305387,23211,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,"22",12,6000,335,12
"2924",305393,17082,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,"25",12,1314,365,15
"2925",305394,13305,0,0,0,0,1,0.2111608,1,1,0,0,1,0,0,0,1,0,"31",8,0,345,35
"2926",305395,12663,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,"22",9,0,0,0
"2927",305396,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,"30",12,6300,340,40
"2929",305398,4704,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,"37",14,1000,340,27
"2930",305400,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"34",12,0,425,40
"2931",305401,31440,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,"22",9,1564,500,35
"2933",305404,16712,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,"48",10,390,335,45
"2934",305406,29524,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,"39",12,4000,400,36
"2935",305407,30306,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,"32",12,4600,1863,40
"2936",305408,36967,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,"47",12,3060,450,32
"2937",305409,4087,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,"25",12,0,0,0
"2938",305410,15075,0,0,0,0,0,0.2111608,1,0,0,1,0,0,0,0,1,0,"29",8,400,210,38
"2939",305411,5337,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,"32",9,2580,335,35
"2942",305416,18823,1,1,1,0,0,0.3352851,0,0,0,0,0,0,1,0,0,1,"49",12,7000,400,25
"2943",305420,39747,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,"22",10,4700,600,40
"2946",305427,27628,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,"23",12,0,365,30
"2947",305431,20715,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,"22",12,0,0,0
"2951",305441,3117,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,"24",12,0,0,0
"2952",305444,14304,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,"25",12,6802,566,40
"2953",305447,19065,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"49",12,5000,420,25
"2955",305451,17646,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,"43",14,0,575,40
"2957",305457,8793,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"43",12,5161,460,54
"2959",305459,23757,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,"33",12,1800,335,40
"2960",305462,19380,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,"26",13,600,500,30
"2961",305463,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,"31",9,62,345,30
"2962",305465,2447,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"34",12,5000,425,10
"2963",305466,10627,1,0,0,1,0,0.2111608,1,0,0,0,1,0,0,0,0,0,"31",10,800,500,40
"2964",305467,13425,1,0,0,0,1,0.2111608,0,0,0,0,0,1,0,0,0,0,"41",8,2400,400,40
"2965",305470,9840,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"24",12,3000,425,40
"2966",305471,11793,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,"41",12,0,0,0
"2967",305475,3435,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"30",10,1942,440,24
"2968",305478,22941,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,"34",9,5385,350,30
"2969",305482,43551,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,"26",14,9000,525,40
"2970",305485,21726,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,"33",12,0,600,40
"2971",305487,27138,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"25",15,3000,474,12
"2972",305489,17896,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,"33",13,200,201,27
"2973",305493,3749,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,"41",11,1729,335,10
"2976",305499,19481,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,"24",12,9000,620,40
"2977",305502,8231,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"23",12,2927,400,20
"2980",305507,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,"44",8,104,400,25
"2981",305508,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"72",8,0,0,0
"2983",305511,12618,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,"69",12,0,0,0
"2984",305512,1125,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"23",11,800,365,60
"2988",305523,3967,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,"26",9,300,335,30
"2989",305524,24938,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"36",12,3200,400,40
"2990",305527,162,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,"30",8,77,350,12
"2993",305531,16743,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"43",9,3342,410,35
"2994",305534,44574,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,"25",12,3000,355,20
"2995",305536,14508,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,"30",16,2500,350,36
"2996",305538,16735,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,"34",16,500,500,40
"2997",305539,2621,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,"61",10,0,0,0
"2999",305543,5017,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"71",12,0,0,0
"3000",305547,20494,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,"24",12,3000,600,25
"3001",305550,43293,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"52",8,9000,589,40
"3003",305553,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,"23",12,0,0,0
"3004",305554,25168,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,"28",12,5800,525,40
"3005",305555,22375,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,"32",16,1024,400,35
"3006",305557,34023,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"23",9,5022,618,48
"3007",305558,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"36",12,600,500,40
"3008",305559,5652,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"32",12,800,625,8
"3009",305561,2179,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"22",12,1100,335,15
"3010",305564,3630,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,"33",12,300,400,16
"3011",305565,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,"28",14,80,400,50
"3012",305566,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,"44",9,125,335,4
"3014",305570,2143,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"45",12,3000,525,39
"3018",305576,5172,0,0,1,1,0,0.2111608,0,0,0,0,0,1,0,0,1,0,"37",12,1000,540,34
"3020",305580,64594,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"42",9,20000,100,36
"3022",305582,12861,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,"22",10,0,0,0
"3023",305584,12861,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"45",8,864,400,20
"3027",305589,37774,1,0,0,1,0,0.2111608,1,0,0,0,0,1,0,1,0,0,"37",8,0,550,24
"3028",305590,22239,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,"25",10,0,425,40
"3029",305591,7896,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"25",10,6390,450,40
"3030",305592,18125,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"37",12,6000,335,40
"3031",305593,9395,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,"26",9,0,0,0
"3033",305596,35925,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,"29",12,1200,335,48
"3034",305597,9843,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,"31",12,7000,900,48
"3035",305599,16995,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,"29",12,4000,525,40
"3039",305605,2502,0,0,0,0,0,0,0.5332298,0,0,0,0,0,0,0,0,0,"70",10,0,150,40
"3040",305608,33927,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"59",12,1500,525,40
"3041",305611,162,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"36",10,13000,535,40
"3043",305614,5217,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,"26",10,0,0,0
"3044",305616,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"33",8,0,0,0
"3046",305621,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,"39",10,0,0,0
"3047",305622,72118,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"46",12,8000,420,40
"3052",305628,8193,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,"27",12,0,425,40
"3053",305629,44522,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"22",13,3000,210,23
"3055",305631,3784,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,"54",9,6000,335,40
"3056",305636,38563,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"57",8,2500,645,40
"3057",305637,48243,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,"34",14,895,355,30
"3058",305638,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,"22",11,0,0,0
"3059",305639,0,1,0,0,0,0,0.2111608,1,0,0,0,1,0,0,0,1,0,"31",8,0,0,0
"3060",305643,14985,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,"32",13,2200,475,40
"3062",305646,0,1,1,1,1,0,0.3352851,0.4073359,0,0,0,0,1,0,1,0,1,"42",16,0,760,40
"3063",305647,4137,0,0,0,0,1,0.2111608,1,1,0,0,1,0,0,0,0,0,"32",8,0,280,40
"3064",305649,13333,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,"29",9,225,350,40
"3065",305651,12804,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,"24",12,0,630,43
"3067",305655,20120,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,"32",9,8000,499,40
"3068",305656,3984,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,"32",12,0,1090,40
"3070",305661,25562,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,"28",13,3000,400,40
"3071",305662,21042,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"58",8,0,425,40
"3073",305664,32418,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,"36",12,0,0,0
"3074",305665,25022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,"44",10,10000,1218,40
"3075",305666,9258,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,"29",12,0,0,0
"3077",305669,15138,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,"42",12,3912,385,36
"3078",305670,4776,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,"33",12,1760,425,40
"3079",305673,16632,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,"26",13,0,175,45
"3080",305676,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,"26",10,2202,660,40
"3081",305677,34721,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,"38",12,1000,500,40
"3082",305679,8757,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,"33",10,2160,475,30
"3083",305681,2919,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,"34",12,0,325,18
"3084",305684,12520,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,"34",12,7600,500,40
"3087",305687,25047,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,"27",11,4200,600,40
"3088",305688,162,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,"23",11,0,0,0
"3090",305692,4937,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,"28",12,0,0,0
"3092",305694,27916,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,"22",12,425,406,30
"3093",305695,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"54",12,3204,450,12
"3095",305697,34040,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"26",8,5154,635,40
"3096",305701,27809,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,"31",12,3000,450,25
"3097",305703,42857,1,1,1,1,0,0.3352851,0,0,0,1,0,0,0,0,1,0,"26",12,2500,600,40
"3098",305704,36786,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,"29",11,0,0,0
"3099",305709,29855,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,"22",11,1500,650,40
"3100",305711,294,1,1,1,1,0,0,0.4073359,0,0,1,0,0,0,1,0,0,"27",11,3000,600,40
"3101",305714,41892,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,"28",15,1600,500,22
"3103",305716,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,"31",7,0,0,0
"3105",305718,10135,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"64",10,0,0,0
"3108",305723,23696,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,"28",11,3000,375,40
"3110",305725,5047,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"29",11,6039,335,30
"3111",305729,17603,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,"32",8,0,0,0
"3112",305733,640,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,"56",12,4600,380,28
"3113",305735,1533,0,0,0,1,0,0.2111608,1,1,0,1,0,0,0,1,0,1,"27",11,500,360,36
"3114",305736,21564,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,"28",12,4500,430,40
"3116",305738,23851,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"56",13,8000,425,10
"3117",305739,8634,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"33",11,5000,345,32
"3120",305745,18687,1,0,0.716404,1,0,0,1,1,0,0,0,1,0,1,0,0,"44",12,1500,705,36
"3122",305747,2550,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,"25",10,0,600,40
"3123",305748,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,"22",12,0,345,28
"3125",305750,40171,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,"28",17,11699,600,40
"3126",305751,30993,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,"28",10,0,0,0
"3128",305754,22513,1,0,0,0,1,1,0.5332298,0,1,0,0,0,0,1,0,1,"22",8,5,405,44
"3129",305755,37502,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,"37",12,0,850,40
"3130",305757,42515,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,"41",12,2400,350,30
"3131",305758,14991,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"25",14,1900,500,40
"3132",305760,2259,1,0,0,0,1,0.2111608,1,1,0,1,0,0,0,0,0,0,"26",10,0,0,0
"3134",305763,369,0,0,0,1,0,0.2111608,1,0,0,0,0,0,1,0,0,1,"46",11,0,0,0
"3135",305765,19263,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,"35",13,5000,550,60
"3136",305766,8109,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"29",10,2426,525,40
"3138",305770,26563,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"33",11,0,525,40
"3139",305771,29283,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"25",14,2500,500,5
"3140",305772,11576,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"22",11,3000,425,40
"3141",305773,4624,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,"22",13,400,375,37
"3142",305774,36913,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"31",11,11000,425,38
"3143",305775,19659,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,"32",12,350,525,40
"3145",305778,1182,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"49",13,4800,550,40
"3146",305779,21435,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,"37",13,4000,335,29
"3147",305780,0,1,1,1,1,0,0.3352851,1,0,0,0,1,0,0,1,0,0,"35",12,0,0,0
"3148",305783,47871,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,"43",10,0,0,0
"3149",305784,6661,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"28",12,4186,500,40
"3151",305787,26415,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,"30",12,1200,335,48
"3153",305789,2250,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,"30",11,0,0,0
"3154",305790,15687,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"22",17,1700,335,40
"3155",305791,26698,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,"38",17,12381,400,20
"3156",305793,17598,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"48",15,18000,600,15
"3158",305797,16454,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"41",10,4400,410,45
"3159",305800,6995,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,"23",10,0,0,0
"3161",305802,26088,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"24",12,6000,425,27
"3162",305804,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,"38",12,0,0,0
"3164",305807,5826,0,0,0.716404,0,0,0,0,0,0,1,0,0,0,0,1,1,"29",12,2095,300,25
"3165",305808,4365,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,"35",14,0,0,0
"3166",305809,10872,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,"33",12,0,0,0
"3167",305810,4839,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,"25",10,1000,500,25
"3168",305811,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"49",14,3600,450,21
"3169",305813,41225,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,"29",12,0,500,40
"3170",305814,4521,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,"30",10,0,275,40
"3171",305815,22318,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,"40",13,0,525,40
"3175",305822,3261,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,"38",12,0,365,20
"3176",305824,19857,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"28",11,700,1200,5
"3177",305825,6099,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,"40",9,2536,335,20
"3180",305832,57149,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"25",12,7488,550,40
"3181",305834,30435,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,"24",12,8000,400,40
"3182",305839,2545,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"31",9,999,335,35
"3183",305843,25542,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,"34",10,0,0,0
"3184",305845,1211,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"29",8,6500,550,40
"3185",305847,28417,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"51",11,5400,400,40
"3186",305850,15665,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,"32",12,5600,395,40
"3187",305851,16922,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"30",11,5044,485,40
"3190",305857,18154,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"37",8,2418,465,40
"3192",305861,18075,1,0,0,0,1,0.2111608,1,1,0,1,0,0,0,1,0,0,"26",10,0,0,0
"3193",305862,6265,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,"26",13,0,450,40
"3194",305863,19717,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,"29",10,3500,201,20
"3195",305864,14982,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"27",11,8700,445,40
